dataset,status,n_features,beam_size,attempt,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
192_vineyard,ok,2,256,4,BFGS,0.7993596424433836,1.9493725731099973,77,357.62,,0.001,(20.523651722227584 + ((1.6873280481977173 * inv((0.7224792064940166 + (10.733125181220828 * (-1.7076703227012184 + (0.5208144092695798 * x_0)))))) - ((-3.543484615837918 * (-1.7076703227012184 + (0.5208144092695798 * x_0))) - (0.42320942674770734 * ((((-18.662516950909534 * (-1.7076703227012184 + (0.5208144092695798 * x_0))) - (43.745881119470596 * (-4.169458226011473 + (0.431896071220312 * x_1)))) - (11.070929045854854 * inv((0.28256332421297414 + (1.7604011358854477 * ((-4.169458226011473 + (0.431896071220312 * x_1)) * (-4.169458226011473 + (0.431896071220312 * x_1)))))))) * inv((1.4731634464578782 + (0.4490955877732997 * (18.635641473092058 * inv((0.23584032049643522 + (0.8044890218417102 * (-1.7076703227012184 + (0.5208144092695798 * x_0))))))))))))))
210_cloud,ok,5,128,3,BFGS,0.9259281163799293,0.2918062576147167,113,399.94,,0.001,(1.2236607869861196 + (((0.5460126217130219 * (-1.3542915032506988 + (1.1265769290074164 * x_3))) - (-0.001246360300435275 * ((-1.349156164026494 + (0.6152466562861073 * x_4)) * ((((0.4246065952200462 * (-1.3542915032506988 + (1.1265769290074164 * x_3))) - (4.590208418273464 * inv((9.987165700827621 + (1.4389911787397884 * (-1.3542915032506988 + (1.1265769290074164 * x_3))))))) - (-0.19657056071067647 * inv(((0.07986749394292414 * (-1.349156164026494 + (0.6152466562861073 * x_4))) - (11.775657621310359 * (-1.0570827394885711 + (0.7017329636726495 * x_2))))))) - (0.1721454055382607 * inv(((-0.818034344033892 * inv((89.15993883090545 + (0.5626809047457615 * (-1.3542915032506988 + (1.1265769290074164 * x_3)))))) - (0.14539253464324864 * (inv((-18.60957545551532 + (5.214258749017956 * (-1.349156164026494 + (0.6152466562861073 * x_4))))) * inv((0.3838318746649534 + (0.14331595026901067 * (-1.3542915032506988 + (1.1265769290074164 * x_3)))))))))))))) - ((0.022855315735711992 * (-1.0 + (2.0 * x_0))) - (0.5433519953099373 * (-1.0570827394885711 + (0.7017329636726495 * x_2))))))
215_2dplanes,ok,10,256,4,BFGS,0.7302262861032893,2.4166246734446735,140,658.51,,0.001,(4.496627718955176 + ((((0.5347180447503868 * (-0.03114373299321498 + (1.2457493197285991 * x_6))) + (((-0.06349361808347576 * (0.02500781616401777 + (1.2503908082008883 * x_9))) - (-0.3231842606430484 * ((-0.030001500112509377 + (1.200060004500375 * x_7)) * (((-0.08970235147633077 * (-0.0 + (1.2038585308576921 * x_2))) + (5.904428726635391 * ((inv((76.31924386342035 + (10.591156599389791 * (-0.08057455696049687 + (1.2396085686230287 * x_8))))) * (-0.030001500112509377 + (1.200060004500375 * x_7))) * (0.10507779168121834 * (0.047524845652175754 + (1.1881211413043937 * x_5)))))) * (10.277610724850106 * inv(((163.70525137253702 * inv((0.45796573476533164 + (-0.20767826823774782 * (0.02000400120040014 + (1.000200060020007 * x_0)))))) - (0.7380819295207033 * (0.02000400120040014 + (1.000200060020007 * x_0)))))))))) - (((2.6651373649355996 * inv((0.8509294912810117 + (0.5477997290429983 * (0.02000400120040014 + (1.000200060020007 * x_0)))))) - (1.4882934797602365 * inv((3.262637368239366 + (-1.9385310241299107 * (-0.16290204253291504 + (1.2066817965401115 * x_3))))))) - (0.6379838913548661 * (-0.0 + (1.2038585308576921 * x_2)))))) + ((1.2167196075820668 * (0.047524845652175754 + (1.1881211413043937 * x_5))) + (0.7434575619553869 * (-0.03138824102871723 + (1.2555296411486891 * x_1))))) + (0.07603639459945774 + (1.1697906861455036 * x_4))))
218_house_8L,ok,8,64,2,BFGS,0.48647400773306415,29042.842982886108,118,399.89,,0.001,(-193.53899327605671 + ((0.2034238037944267 * (-8.051727895827435 + (16.731591247493967 * x_2))) - (((-0.016383218024282553 * (-1.2420794631854704 + (7.280171385208041 * x_5))) - (((0.1322612800369833 * (-1.5037336233963396 + (3.0832213967881748 * x_7))) - ((0.6189333273874462 * (((30.653491129643456 * ((2.9870199311726733 + (-0.882021792615596 * (-0.4354479563349125 + (54.54681096758018 * x_1)))))**2) - (-43.306275876552235 * (-8.745399041277315 + (1.4579020752294582 * x_6)))))**2) - ((321.15080091424124 + (35.56872353058995 * (-8.745399041277315 + (1.4579020752294582 * x_6)))))**2)) - ((267.1685656376833 * (-1.5037336233963396 + (3.0832213967881748 * x_7))) - (-33.873504231453055 * (-0.2735558448495786 + (0.00011731984031014947 * x_0)))))) - (14.715683310227554 * ((((5.565452472327532 * (-8.745399041277315 + (1.4579020752294582 * x_6))) - (3.82797446685204 * (-0.3762519483828514 + (8.305362235129161 * x_4)))) - (-5.427520230152117 * ((1.125265568824017 + (9.911631462169861 * (-1.2420794631854704 + (7.280171385208041 * x_5)))))**2)) * ((0.45882324261253093 + (0.21413155943855777 * (-8.051727895827435 + (16.731591247493967 * x_2)))))**2)))))
225_puma8NH,ok,8,64,2,BFGS,0.4541976212157486,4.155142086689358,125,453.91,,0.001,(19.012864651914654 + (((-0.9504277829176646 * (-0.01549372006853783 + (0.9102782276193362 * x_0))) - (13.484502057919784 * inv((2.5257128548298216 + (0.3280651620074212 * (-0.07572364437013104 + (0.9138359759094098 * x_3))))))) - ((-0.5977217878297287 * inv((2.869061948414893 + (0.5258146304944196 * (-0.031097369547192274 + (0.9193982774372316 * x_5)))))) - ((-0.013065015105785921 * inv((0.0035731555876179454 + (0.0015241589046649275 * (-0.07710723083161697 + (0.9234518833549156 * x_1)))))) - (((0.1418416650706264 * (-0.07710723083161697 + (0.9234518833549156 * x_1))) - (0.638569267054978 * (-0.022023529833178766 + (0.8877592340102415 * x_4)))) + ((13.883502750542016 * inv((2.0408292141804574 + (0.5137303628010788 * (-0.06585661692848528 + (0.8959411617355382 * x_2)))))) - ((-0.07727900196560514 * inv((2.1759101374698036 + (-0.3847968209497371 * ((-0.09681685113891113 + (2.9689157921727203 * x_6)) * (-0.09681685113891113 + (2.9689157921727203 * x_6))))))) - (((0.5902176272261714 * (-0.09681685113891113 + (2.9689157921727203 * x_6))) - (0.7073447961366048 * (-0.01549372006853783 + (0.9102782276193362 * x_0)))) + (0.10864884940763064 * inv((67.42088194503282 + (0.5382422972738407 * (-0.0263697467348816 + (2.836613933023496 * x_7))))))))))))))
228_elusage,ok,2,256,4,BFGS,0.88241504223346,8.157696807078636,110,429.72,,0.001,(0.4880992290763275 + (((0.8164375305458615 + (-0.159964455131829 * (-3.494368107086116 + (0.06492913712491094 * x_0)))))**2 * ((((0.04633189984474312 * ((36.290902481122856 + (-0.5351821009583224 * (-1.588178110693536 + (0.281773535768208 * x_1)))))**2) - (33.00328984243335 * (-3.494368107086116 + (0.06492913712491094 * x_0)))) - ((-2.1070182241588142 * (-1.588178110693536 + (0.281773535768208 * x_1))) - (25.880084130661473 * (-3.494368107086116 + (0.06492913712491094 * x_0))))) - ((11.302510963691837 * cos(((40.716286904683 * (-3.494368107086116 + (0.06492913712491094 * x_0))) - (((4.118813214058081 * (-3.494368107086116 + (0.06492913712491094 * x_0))) - (2.104647660972484 * ((1.0684339616545628 + (-0.297944759672108 * (-3.494368107086116 + (0.06492913712491094 * x_0)))))**2)) - (-0.24925988145325695 * (-1.588178110693536 + (0.281773535768208 * x_1))))))) - ((-0.7722021344730869 * (-3.494368107086116 + (0.06492913712491094 * x_0))) - (20.513447162778 * ((0.4574167943434413 + (-0.0005610859442037801 * (-3.494368107086116 + (0.06492913712491094 * x_0)))))**2))))))
229_pwLinear,ok,10,256,4,BFGS,0.7728024869883625,2.1275400450748028,97,280.12,,0.001,(-0.6929245323333695 + ((((-0.0792814738418304 * ((-0.07017213284715496 + (1.0024590406736422 * x_0)) * (0.23113784501801415 * (0.047863877241182545 + (1.1965969310295634 * x_8))))) - (2.4294656318456678 * ((0.13630961003872036 + (1.1853009568584378 * x_2)) * inv((13.858626705075928 + (-233.23424784396445 * (0.1308442961026054 + (1.2461361533581465 * x_1)))))))) - (-0.8372557153612066 * (0.024625761678892605 + (1.2312880839446303 * x_6)))) - (((-1.1168976774645905 * (-0.12885860791431716 + (1.227224837279211 * x_5))) + (((0.08672390443029926 * inv((-0.3172465089849976 + (4.3650888666959435 * (0.024625761678892605 + (1.2312880839446303 * x_6)))))) - ((1.0449857218040908 * (0.1308442961026054 + (1.2461361533581465 * x_1))) + (0.7528269863464474 * (0.13630961003872036 + (1.1853009568584378 * x_2))))) + (-1.6273842325828376 * (-0.0708881205008336 + (1.2888749181969743 * x_4))))) + (2.5685762986265823 * (-0.07017213284715496 + (1.0024590406736422 * x_0))))))
230_machine_cpu,ok,6,64,2,BFGS,0.9224129986224332,45.47440350779215,126,87.05,,0.001,(61.04033132500108 + ((1.1006220233648456 * ((-0.8780123817304619 + (-5.169460888963847 * (-1.0157486231470525 + (8.41758769093056e-05 * x_2)))))**2) - (((0.00013785985049335114 * ((0.981219121113331 + (-10.692368522194702 * (-0.7539783429454673 + (0.00025457276565311854 * x_1)))))**2) - ((((-33.46808962592337 * (-0.7692023071461158 + (0.003791788953692772 * x_0))) - (9.936905681271035 * (((13.690933826806589 * ((0.2315400644483444 + (0.08049398335673455 * (-1.0157486231470525 + (8.41758769093056e-05 * x_2)))))**2) - (-5.8666221851018125 * (-0.7539783429454673 + (0.00025457276565311854 * x_1)))) * (-0.7692023071461158 + (0.003791788953692772 * x_0))))) - (-2.602473760125042 * (((4.905316480961433 + (-0.27698861769821814 * (-0.6323138508124196 + (0.02430107036173788 * x_3)))))**2 * (-0.6323138508124196 + (0.02430107036173788 * x_3))))) - (4.094921458777025 * inv(((12.046153619713827 * (-0.7692023071461158 + (0.003791788953692772 * x_0))) - (0.3266904944752993 * ((22.355573890464946 + (0.9705489173940076 * ((0.7349332728420206 + (-1.8934016221005372 * (-0.7539783429454673 + (0.00025457276565311854 * x_1)))))**2)))**2)))))) - (4.403791986348638 * ((-0.7047263654341995 + (0.14485639577270287 * x_4)) * (-0.7169976175893781 + (0.03797656872825096 * x_5)))))))
344_mv,ok,10,256,4,BFGS,0.8957604514156778,3.0932852555219945,78,414.30,,0.001,(0.16012670758220565 + ((((0.08418572473794388 * (8.731675768609247 + (0.6975312065809712 * x_1))) + (((8.580799768986545 * (0.9175113942281458 + (0.09481017314613248 * x_5))) + ((134.0956579220016 * (exp((-0.6584108216839197 + (1.6517466987242821 * (-0.5619514869490163 + (2.341464528954235 * x_7))))) * exp((-1.1680986596081167 + (-0.017617348487675887 * (1.3389884173455886 + (0.3190495684869531 * x_3))))))) - (0.36307769562861475 * (-0.6964409092807232 + (1.5476464650682737 * x_2))))) - (6.675740954759876 * exp((1.701576434874236 + (1.3612200006827289 * (-0.5619514869490163 + (2.341464528954235 * x_7)))))))) + (3.0733204116458266 * (-0.5619514869490163 + (2.341464528954235 * x_7)))) + (2.2379391587642408 * (-0.08262425328176871 + (0.3485338209019501 * x_0)))))
485_analcatdata_vehicle,ok,4,128,3,BFGS,0.7037739296685876,153.13606849060454,122,588.90,,0.001,(0.6166330642151512 + (((2.9191357659561223 + (0.24872750456319942 * (-1.4638501094227998 + (0.5855400437691199 * x_3)))))**2 * (inv((0.10574235388584188 + (-0.000526256076669658 * (-1.0 + (2.0 * x_2))))) * ((((((-1.1102981709897999 * (-1.0 + (2.0 * x_2))) - (1.04608328431818 * inv((201.3255842548782 + (27.753716956879284 * ((-0.061433173774754 + (4.850810639769987 * (((-3.035141400444914 + (0.051508823734257914 * ((-1.4638501094227998 + (0.5855400437691199 * x_3)) * ((-16.697310054272787 + (-2.509338909454166 * (-1.0 + (2.0 * x_1)))))**2))))**2 * ((3.721236570639441 + (-71.9561396394173 * (-1.0 + (2.0 * x_2)))))**2))))**2))))) + (0.003177032757933201 * ((22.823725390303977 + (0.9798446801576207 * (-1.0 + (2.0 * x_1)))))**2)) + ((-1.4638501094227998 + (0.5855400437691199 * x_3)) * (-1.0 + (2.0 * x_2)))) + (-0.8000893957532236 * (-1.4638501094227998 + (0.5855400437691199 * x_3)))) + (0.07852139170969136 * ((5.158472477950676 + (-3.047964081986537 * (-1.0 + (2.0 * x_0)))))**2)))))
