dataset,status,n_features,refinement_type,r2,rmse,complexity,expr,seconds,error,rows
1201_BNG_breastTumor,ok,9,BFGS,0.00453001739916703,10.57007164019059,111,(((((-0.5388159060803247 + (2.3947373603569986 * x_3)) + ((-1.9303348926197827 + (-54.12322873370079 * sin((93.17104096361888 + (-0.749436783737264 + (0.22607444456629383 * x_2)))))) * (0.021424890055981274 + (0.006166107243024129 * cos((3.818831099853881 + (-26.74580010984729 * (-0.933007822647968 + (1.6963778593599417 * x_1))))))))) + (68.9592384500942 + (0.007209145416006277 * inv((((-0.009299988673801378 + ((77.80000177474048 + (1.950000545485639 * (-0.75 + (2.0833333333333335 * x_8)))))**2) - (-47.40000001132616 + (-15.399999994466102 * (-1.2500406497455434 + (0.8064778385455118 * x_6))))) * ((-0.10891747739856077 + (0.02772354987935113 * (-1.6200683918739798 + (1.270641875979592 * x_4)))) * (0.7000000346810648 + (31.80000220114817 * abs((-0.4829993037422545 + (-79.8000008813634 * (-0.6081636405595373 + (2.2524579279982864 * x_7))))))))))))) + (164.60293844826907 + (-0.052741906668850966 * cos((3.2211664320471143 + (-4.42552950243441 * (-5.513793854744495 + (0.10828748668207969 * x_0)))))))) * (0.10499491286672494 + (-2.3247113399931416e-05 * (-1.061913167103641 + (2.0036097492521527 * x_5))))),11.72846007347107,,200
1203_BNG_pwLinear,ok,10,NoRef,0.26605730683686946,3.75967917350003,176,((-0.0075699999999999995 + (-0.029 * sqrt((78.2 + (0.103834826330233 + (1.2979353291279123 * x_9)))))) * (((8.8 * (-0.07017213284715496 + (1.0024590406736422 * x_0))) - ((0.063 + (8.73 * cos((0.628 + (-32.9 * inv((0.007699999999999999 + (-0.006549999999999999 * (-0.3106848830006 + (1.2427395320024 * x_5)))))))))) - ((0.013200000000000002 + (0.732 * (-0.0689883074727411 + (1.1498051245456848 * x_7)))) - (0.09670000000000001 + (0.5800000000000001 * inv((0.00157 + (8.05 * (-0.0689883074727411 + (1.1498051245456848 * x_7)))))))))) + (((0.00712 + (-0.032157832069216574 + (1.286313282768663 * x_4))) + ((-0.0010999999999999998 + (0.501 * (0.10854662075011276 + (1.1425960078959239 * x_8)))) - ((0.8580000000000001 + (-6.4 * (-0.012127673025267264 + (1.2127673025267265 * x_2)))) + ((((-0.0512 + (0.23480352857641618 + (1.2692082625752226 * x_1))) - (-0.659 + (-1.41 * exp((0.0178 + (0.9430000000000001 * (0.23480352857641618 + (1.2692082625752226 * x_1)))))))) * ((-0.0013499999999999999 + (-0.024800000000000003 * arctan((-44.6 + (0.00241 * (0.10854662075011276 + (1.1425960078959239 * x_8))))))) - ((0.8200000000000001 + (-0.266 * (-0.018397292771819163 + (1.2264861847879442 * x_3)))) - (-2.93 + (-0.030900000000000004 * (0.07462778926574919 + (1.2437964877624865 * x_6))))))) - (0.507 + (0.0036 * (0.10854662075011276 + (1.1425960078959239 * x_8)))))))) * (-0.078 + (-0.315 * tan((-0.1 + (3.12 * (-0.018397292771819163 + (1.2264861847879442 * x_3)))))))))),10.290406942367554,,200
1595_poker,ok,10,BFGS,0.0002079846345598435,1.8796382708111707,122,(0.42875337752393095 + (-62.098084845171556 * inv((((-16.148810413201467 + (-4.969671641637408 * arctan(((-8.425935016036565 + (2.3751366178719002 * abs(((-3.1408473554222005 + (-18.165554783816187 * (-2.255306647257317 + (0.8879160028572115 * x_2)))) * (-28.420022417777965 + (0.4625317116766947 * (-1.9821888119854005 + (0.27918152281484515 * x_7)))))))) - ((-1.3273149839552638 + (3.197872002669364 * (-2.263282788250694 + (0.9017062901397188 * x_6)))) - (1.3279549839539748 + (-65.31318384191249 * cos(((10.001217722192452 + (-0.11912960713272974 * ((-0.07186316104436961 + (-2.0021419904536457 + (0.26240393059680805 * x_5))))**2)) * (((-60.60395115445918 + (0.06846981672579239 * (-1.7424192597585042 + (0.25399697664118137 * x_9)))) * ((-0.3713738107594075 + (-0.20514457686547657 * (-1.751254141624046 + (0.2550989281316891 * x_1)))) - (13.672373810827654 + (-0.7877588511861382 * (-2.2966405262456084 + (0.9024127804501408 * x_8)))))) - (0.01650629001709729 + (-0.1374492680845896 * (-2.457674242915606 + (0.901898804739672 * x_4)))))))))))))) + (-16.053510413329178 + (0.33872337273919195 * (-1.7464386746997875 + (0.2610521187892059 * x_3))))) - (75.80051041353222 + (0.16645063616560393 * (-2.2587053892816185 + (0.9016787981164146 * x_0)))))))),10.916802883148193,,200
192_vineyard,ok,2,NoRef,0.5200031663778517,3.0151220108057593,82,(((0.0956 + (1.75 * abs((-10.3 + (-0.875 * (-1.7076703227012184 + (0.5208144092695798 * x_0))))))) - (0.083 + (40.6 * inv((0.00324 + (67.5 * sin(((-0.10500000000000001 + (7.45 * (-4.169458226011473 + (0.431896071220312 * x_1)))) + (18.900000000000002 + (0.00556 * (-4.169458226011473 + (0.431896071220312 * x_1)))))))))))) - (((-0.6900000000000001 + (-4.169458226011473 + (0.431896071220312 * x_1))) * (0.00422 + (0.33 * (-1.7076703227012184 + (0.5208144092695798 * x_0))))) * (0.5700000000000001 + (1.42 * sqrt((0.0073 + (7.09 * ((0.9520000000000001 + (-0.81 * (-1.7076703227012184 + (0.5208144092695798 * x_0)))))**2))))))),6.2256553173065186,,52
197_cpu_act,ok,21,NoRef,0.7401939618016972,8.516871046778588,165,((-0.9500000000000001 + (0.87 * (-0.7249903137898093 + (0.0004731494315864483 * x_19)))) + (((-0.29600000000000004 + (-4.7 * sin(((-3.23 + (0.05840000000000001 * inv((-0.525 * (-0.1768076660926582 + (0.011662390162363465 * x_18)))))) + (-3.66 + (-0.782 * cos((-21.7 + (-6.53 * ((-11.8 + (-0.0757 * (-0.9868709202716014 + (0.0099244698045493 * x_16)))))**3))))))))) + (((-0.384 + (-1.06 * sqrt((7.8100000000000005 + (0.00487 * inv(((7.5200000000000005 + (-2.47 * (-0.464313047955479 + (0.19008578591532133 * x_6)))) + (-0.00497 + (-82.8 * (-0.43186038059261744 + (0.07181872905978882 * x_10))))))))))) * (-0.862 + (1.11 * (-0.999689743626646 + (0.00600128972870826 * x_17))))) - ((-0.8370000000000001 + (-2.7800000000000002 * (-3.247101633634574 + (2.50655966174019e-06 * x_20)))) - ((0.00802 + (0.552 * (-0.1768076660926582 + (0.011662390162363465 * x_18)))) * ((((-0.809 + (-3.247101633634574 + (2.50655966174019e-06 * x_20))) * (-0.195 + (-0.00926 * (-0.7249903137898093 + (0.0004731494315864483 * x_19))))) * (0.0009699999999999999 + (0.00682 * (-0.36463952920060744 + (0.03243315947267479 * x_11))))) + ((0.0942 + (-0.42400000000000004 * (-0.464313047955479 + (0.19008578591532133 * x_6)))) + (-20.7 + (-1.35 * (-0.5377360366120698 + (0.22835256385635588 * x_6)))))))))) - (-82.3 + (2.32 * (-0.7437521549138809 + (0.45419978857840837 * x_5)))))),11.323352575302124,,200
201_pol,ok,48,NoRef,nan,nan,145,(3.19 + (37.2 * exp((-0.00312 + (-8.15 * exp((((8.38 * (-5.065595848537964 + (0.05463325979872697 * x_18))) * (6.74 + (-0.00904 * (-5.769059494123129 + (0.06923979229624494 * x_18))))) + ((0.09340000000000001 + (0.009049999999999999 * (-inf + (inf * x_2)))) * (((-0.22 + (89.9 * (-0.49211604910330353 + (0.058936053784826775 * x_18)))) - (((0.0033599999999999997 * (-5.769059494123129 + (0.06923979229624494 * x_18))) + ((23.1 + (-0.003 * (-4.785511477960315 + (0.062161609118143994 * x_18)))) - (((-5.67 + (0.09280000000000001 * (-0.3464909255156472 + (0.08873007055458315 * x_20)))) * ((-0.9480000000000001 + (0.161 * (-0.3464909255156472 + (0.08873007055458315 * x_20)))) + ((-0.00673 + (-0.154 * (-inf + (inf * x_0)))) + (20.6 + (-7.72 * (-0.3343788142067963 + (0.10786413361509559 * x_19))))))) - (5.13 + (3.3000000000000003 * (-inf + (inf * x_0))))))) + ((0.00791 + (5.0 * (-inf + (inf * x_1)))) + (72.0 + (46.4 * (-0.49211604910330353 + (0.058936053784826775 * x_18))))))) - (-6.8500000000000005 + (-0.018000000000000002 * (-inf + (inf * x_3))))))))))))),6.953197002410889,,200
210_cloud,ok,5,NoRef,0.8738378080601739,0.3808311984040132,97,((((26.8 + (-1.0570827394885711 + (0.7017329636726495 * x_2))) * ((-4.03 + (1.73 * abs((-5.97 + (-1.6400000000000001 * (-1.3542915032506988 + (1.1265769290074164 * x_3))))))) - (-0.602 + (-2.04 * (-1.0570827394885711 + (0.7017329636726495 * x_2)))))) * (0.005719999999999999 + (-0.0918 * inv(((-0.49000000000000005 + (-19.900000000000002 * inv(((-0.0007999999999999999 + (-45.1 * (-1.4231307757262779 + (0.9371836815758414 * x_1)))) - (44.4 + (38.9 * (-1.349156164026494 + (0.6152466562861073 * x_4)))))))) - ((0.006529999999999999 + (-0.0727 * (-1.4231307757262779 + (0.9371836815758414 * x_1)))) - (0.0531 + (-90.60000000000001 * tan((0.672 + (9.47 * (-1.0 + (2.0 * x_0))))))))))))) + (-0.07690000000000001 + (0.1 * (-1.0570827394885711 + (0.7017329636726495 * x_2))))),6.053127765655518,,108
215_2dplanes,ok,10,NoRef,0.7041545580153107,2.5307067949826627,127,(((0.06280000000000001 + (0.54 * (0.07603639459945774 + (1.1697906861455036 * x_4)))) + ((((-3.94 + (-0.08057455696049687 + (1.2396085686230287 * x_8))) - (7.03 + (-2.5100000000000002 * (0.07603639459945774 + (1.1697906861455036 * x_4))))) * ((-0.48000000000000004 + (59.300000000000004 * (0.02000400120040014 + (1.000200060020007 * x_0)))) - ((0.008 + (-0.019600000000000003 * (-0.03114373299321498 + (1.2457493197285991 * x_6)))) + (0.00958 + (21.400000000000002 * cos(((-10.4 + (0.07060000000000001 * (-0.030001500112509377 + (1.200060004500375 * x_7)))) * (-0.057800000000000004 + (1.0 * (-0.16290204253291504 + (1.2066817965401115 * x_3))))))))))) * (-0.0070799999999999995 + (-0.00394 * cos(((-0.051100000000000007 + (0.07300000000000001 * (-0.0 + (1.2038585308576921 * x_2)))) + (4.05 + (0.044800000000000006 * (-0.03114373299321498 + (1.2457493197285991 * x_6)))))))))) - (((-0.0096 + (-0.7150000000000001 * (-0.03138824102871723 + (1.2555296411486891 * x_1)))) * (2.09 + (0.40700000000000003 * (0.02500781616401777 + (1.2503908082008883 * x_9))))) - (-0.0679 + (0.936 * (0.047524845652175754 + (1.1881211413043937 * x_5)))))),9.595253229141235,,200
218_house_8L,ok,8,BFGS,4.29623528449552e-05,40527.38501855567,119,(((46.66522152390805 + (-1.2420794631854704 + (7.280171385208041 * x_5))) - (-46.6676215146943 + (-1.354453722185177 * abs((((0.13026245853179275 * log((44.39280428436152 + (-8.051727895827435 + (16.731591247493967 * x_2))))) * ((((-86.44456611639762 + ((0.3194967550866531 * (-8.745399041277315 + (1.4579020752294582 * x_6))))**2) + (-4.346305700243052 + (-0.0007452143764412813 * inv((-18.712996090296308 + (76.7977790513059 * (-7.96909359589554 + (11.183243963289556 * x_3)))))))) * (-73.03768870673393 + (-0.04364383663735956 * (-1.5037336233963396 + (3.0832213967881748 * x_7))))) - (2401.3650049774506 + (12.889940299781435 * cos(((23.55947507305934 + (-13.520779544457612 * (-0.3762519483828514 + (8.305362235129161 * x_4)))) * (-4.967782882961254 + (11.141388387052821 * (-8.051727895827435 + (16.731591247493967 * x_2)))))))))) + (2770.0097859926645 + (0.0029327513312899707 * ((-671.6506467280999 + (-48.71033985330688 * inv((0.009897491360377214 + (-1.6057558363515254e-07 * sin((-2.278928183990262 + (67.0800966986967 * (-0.2735558448495786 + (0.00011731984031014947 * x_0)))))))))))**2))))))) * (0.3665188052172025 + (-3.5615661330974132e-06 * (-0.4354479563349125 + (54.54681096758018 * x_1))))),12.288984298706055,,200
225_puma8NH,ok,8,NoRef,0.002335614610613601,5.617724042621368,129,((-2.0300000000000002 + (-6.94 * arctan(((((72.60000000000001 + (-0.0055899999999999995 * sqrt((0.0081 + (-0.09090000000000001 * exp((-84.7 + (50.2 * arctan(((4.32 + (-9.5 * (-0.06585661692848528 + (0.8959411617355382 * x_2)))) * (-0.0024 + (-6.7 * exp((-0.234 + (0.452 * log((2.42 + (0.00822 * (-0.07572364437013104 + (0.9138359759094098 * x_3)))))))))))))))))))) * (-0.009349999999999999 + (9.66 * inv(((-9.0 + (-94.0 * (-0.06585661692848528 + (0.8959411617355382 * x_2)))) * (54.7 + (-0.0011099999999999999 * (-0.031097369547192274 + (0.9193982774372316 * x_5))))))))) - (0.095 + (-0.366 * (-0.01549372006853783 + (0.9102782276193362 * x_0))))) - (0.0635 + (0.00679 * (-0.0263697467348816 + (2.836613933023496 * x_7)))))))) - (0.07350000000000001 + (0.0039 * ((((-6.8 + (1.95 * (-0.022023529833178766 + (0.8877592340102415 * x_4)))) - (-0.09570000000000001 + (-26.0 * (-0.07710723083161697 + (0.9234518833549156 * x_1))))) - (1.32 + (0.00827 * (-0.09681685113891113 + (2.9689157921727203 * x_6))))))**2))),12.49318552017212,,200
